topic,keywords,severity,suggested_actions,follow_up_metric
Pressure to order alcohol,pushed drinks;felt judged for no alcohol;server disappointed,medium,Respect guest choices;Equal service regardless;Train on non-alcoholic upselling;Remove pressure tactics,Alcohol pressure complaints; Server training compliance%
Wine list outdated or limited,limited wine;old vintages;no wine list,low,Curated wine selection;Regular supplier reviews;Wine list updates quarterly;Staff recommendations,Wine sales per cover; Selection satisfaction score
Beer selection too limited,only domestic;no craft beer;limited selection,low,Rotate craft options;Local brewery partnerships;Seasonal selections;Guest preference tracking,Craft beer sales%; Selection request rate
Cocktail menu never changes,same cocktails always;boring menu;no innovation,low,Seasonal cocktail rotation;Bartender creativity encouraged;Limited-time offerings;Guest feedback integration,Menu rotation frequency; New item trial rate
No decaf coffee available,no decaf;only regular;can't have caffeine,low,Stock decaf always;Clearly offer;Decaf tea options;Staff awareness to offer,Decaf request fulfillment%; Stockout frequency
Milk alternatives not available,no soy milk;no oat milk;no alternatives,low,Stock multiple alternatives;Upcharge reasonable or none;Clear menu labeling;Barista training,Alternative milk sales%; Request fulfillment rate
Tap water tastes bad,bad tap water;chlorine taste;prefer bottled,low,Water filtration system;Offer bottled alternative;Lemon/cucumber infusion;Regular filter maintenance,Water quality complaints; Filtration system maintenance logs
Ice tastes or smells off,bad ice;smelly ice;dirty ice machine,high,Ice machine cleaning schedule;Water filter for ice;Bin sanitation;Staff training on ice handling,Ice quality complaints; Machine cleaning frequency
Drinks served in dirty glasses,lipstick on glass;spots on glass;dirty rim,high,Glass inspection protocol;Polishing station;Immediate replacement;Dishwasher maintenance,Dirty glass incidents; Rewash rate
Wrong temperature for wine service,red wine too warm;white wine not cold;poor service,medium,Wine storage temperature monitoring;Service temperature guidelines;Staff training on proper temps;Chilling/warming protocols,Wine temp complaints; Storage temp logs
Beer served in wrong glassware,wrong glass;plastic cup;poor presentation,low,Glassware standards by beer type;Stock adequate specialty glasses;Staff training;Elevate beer program,Glassware complaint rate; Proper glass usage%
Cocktail garnish missing or wrong,no garnish;wrong garnish;looked bad,low,Garnish prep list;Standard recipes;Visual training;Quality check at bar,Garnish error rate; Presentation audit score
Espresso machine broken / no espresso,can't get espresso;machine down;no cappuccino,medium,Preventive maintenance contract;Backup machine for high-volume;Barista basic troubleshooting;Clear signage when down,Espresso machine uptime%; Maintenance frequency
Blender too loud / disruptive,blender so loud;can't talk;disruptive noise,low,Sound-dampening blender enclosure;Limit blended drinks during quiet hours;Bar location consideration,Blender noise complaints; Noise level during service
Bar staff ignoring table service,bar only serves bar seats;couldn't get drink;had to go to bar,medium,Service bar separate from guest bar;Server orders prioritized;Communication system;Adequate bar staffing,Table drink wait time; Server bar satisfaction
Last call too early,stopped serving too early;wanted another drink;last call too soon,low,Legal compliance first;Clear last call announcement;Reasonable timing;Staff consistency,Last call complaints; Legal compliance%
Refused service without clear reason,wouldn't serve me;rude refusal;felt discriminated,high,Refusal policy documented;Manager approval required;Clear communication of reason;De-escalation training,Refusal incidents; Complaint rate
ID check inconsistent or offensive,didn't card others;offensive ID check;inconsistent,medium,Card everyone policy or clear age threshold;Respectful ID request script;Manager support;Compliance over perception,ID check complaints; Policy compliance audit
Bouncer or security too aggressive,security rude;rough handling;excessive force,critical,Security training on de-escalation;Professional security company;Clear escalation protocol;Incident review,Security complaint rate; Force incident reports
VIP treatment makes others feel excluded,VIP area obvious;felt like second class;exclusive treatment visible,medium,Discrete VIP service;Equal attention to all;Subtle upgrades;Avoid obvious favoritism,VIP exclusivity complaints; Non-VIP satisfaction score
Loyalty member benefits not honored,told I have reward but denied;benefit not applied;loyalty not recognized,high,POS integration with loyalty;Staff training on benefits;Manual override capability;Apology and correction protocol,Loyalty benefit failure rate; Member satisfaction
App glitches during payment,app froze during payment;charged twice;payment error,high,Payment testing before releases;Error handling with rollback;Support contact visible;Alternative payment ready,Payment error rate; Duplicate charge incidents
Cannot delete account or data,can't delete account;privacy concern;data not removed,medium,Clear account deletion process;GDPR compliance;Data retention policy;Privacy settings accessible,Account deletion request time; Privacy complaints
Marketing emails after unsubscribe,still getting emails;can't unsubscribe;spam continues,medium,Unsubscribe processing within 24hrs;List segmentation clean-up;Compliance monitoring;Easy opt-out,Unsubscribe complaints; List hygiene score
Personal data breach or leak,data leaked;privacy violated;information exposed,critical,Immediate breach protocol;Legal notification requirements;Credit monitoring offer;Security audit and fixes,Breach incidents; Notification compliance time
Charged for cancelled reservation,charged cancellation fee;policy unclear;unfair charge,medium,Clear cancellation policy at booking;Reminder before deadline;Reasonable fee;Waive for emergencies with documentation,Cancellation dispute rate; Policy clarity score
Unable to modify reservation online,can't change reservation;have to call;website won't let me modify,medium,Online modification feature;Grace period for changes;Clear instructions;Phone backup available,Modification difficulty complaints; Online success rate
Reservation confirmation never received,no confirmation email;worried about booking;did it go through,medium,Immediate confirmation email/SMS;Resend option;Check spam folder guidance;Phone confirmation backup,Confirmation delivery rate; Guest inquiry rate
Double-booked reservation,both had reservations;overbooked;gave table away,critical,Reservation system integrity audit;Buffer capacity;Manager override alerts;Immediate resolution with compensation,Double-booking incidents; Resolution satisfaction
Waitlist system confusing,don't understand waitlist;how long is wait;never called,medium,Clear waitlist explanation;SMS notification;Visible queue position;Regular updates,Waitlist abandonment rate; Notification success%
Told longer wait than actual,said 45min but seated in 15;inaccurate estimate,low,Accurate estimates with buffer;Update when faster;Better than promised approach,Estimate accuracy (over/under); Guest satisfaction
Name pronunciation mispronounced repeatedly,kept saying name wrong;embarrassing;disrespectful,medium,Ask for pronunciation;Phonetic spelling option;Name tag for guest;Respectful corrections,Name mispronunciation complaints; Staff sensitivity training%
Religious dietary restrictions not understood,don't understand kosher;halal confusion;religious needs ignored,high,Religious dietary training;Menu labeling;Ingredient disclosure;Dedicated prep if feasible,Religious dietary complaints; Staff knowledge score
Cultural insensitivity / stereotyping,offensive comment;cultural stereotype;insensitive,critical,Diversity and inclusion training;Zero-tolerance policy;Immediate manager involvement;Sincere apology,Cultural insensitivity incidents; Training completion%
Gender discrimination in service,treated differently by gender;sexist behavior;unequal service,critical,Equal service standards training;Anonymous feedback channel;Investigation protocol;Disciplinary action,Gender discrimination complaints; Investigation outcomes
Age discrimination suspected,treated poorly due to age;ageist comments;judged for age,critical,Age diversity training;Respect for all ages;Manager oversight;Legal compliance review,Age discrimination complaints; Training completion%
Disability accommodations refused,wouldn't accommodate disability;no help offered;inaccessible,critical,ADA compliance audit;Accommodation protocol;Staff training;Proactive assistance offer,Accommodation refusal incidents; ADA compliance score
Service animal questioned or refused,challenged service animal;refused entry;don't understand law,critical,Service animal law training;No questions about disability allowed;Welcome protocol;Documentation,Service animal incidents; Staff training completion%
Pregnancy discrimination / poor treatment,no alcohol made them rude;judged for being pregnant;poor service,high,Equal respect training;Mocktail alternatives;Comfortable seating offered;Sensitivity awareness,Pregnancy-related complaints; Staff awareness score
LGBTQ+ discrimination or discomfort,homophobic comment;transphobic behavior;made us uncomfortable;not welcoming,critical,LGBTQ+ inclusion training;Safe space policies;Gender-neutral restrooms;Pride participation,LGBTQ+ complaints; Inclusion training completion%
Racial profiling or discrimination,followed in restaurant;treated with suspicion;racist comment,critical,Anti-racism training;Equal treatment audits;Anonymous reporting;Immediate investigation;Zero tolerance,Racial discrimination incidents; Investigation response time
Asked to prepay due to appearance,asked to pay first;profiling;offensive assumption,critical,No prepayment discrimination;Consistent payment policies;Manager approval only for legitimate reasons;Training,Prepayment discrimination complaints; Policy compliance%
Dress code enforced inconsistently,let others in but not us;discriminatory enforcement;unfair,high,Objective dress code criteria;Consistent enforcement;Manager authorization;Regular audits,Dress code enforcement complaints; Consistency audit score
Charged more than menu price,price different;charged extra;menu incorrect,high,Daily price audit;POS programming checks;Honor menu price;Immediate correction and apology,Pricing error incidents; Audit frequency
Automatic tip added without notice,didn't see auto-tip;surprised by charge;should have been told,high,Clear notice on menu;Server verbal disclosure for parties;Receipt highlights;Adjust if requested,Auto-tip surprise complaints; Disclosure compliance%
Split check limit unreasonable,won't split more than 2 ways;large group can't split;inflexible,medium,Reasonable split policy;Technology to enable;Advance notice for large groups;Workarounds offered,Split check denial rate; Guest satisfaction on payment
Change not returned / kept tips,didn't get change back;assumed tip;uncomfortable,high,Always return change;Guest decides tip;Never assume;Cash handling training,Change return policy violations; Tips assumed incidents
Credit card minimum purchase enforced,minimum charge for card;cash only under $10;inconvenient,low,Eliminate minimums or lower;Surcharge alternative;Legal compliance check;Clear signage,Card minimum complaints; Policy review date
Surcharge for credit cards not disclosed,hidden credit card fee;surprised by surcharge;not mentioned,medium,Clear surcharge disclosure at entry and menu;POS displays before final;Legal signage requirements,Surcharge surprise complaints; Disclosure compliance%
Cannot tip in cash on card payment,wanted to tip cash;forced tip on card;prefer cash tip,low,Allow separate cash tip;Explain options;Staff training on split payment;Guest choice priority,Cash tip request accommodation%; Guest satisfaction
Receipt signature line pre-filled,tip pre-filled;signature area marked;felt pressured,high,Blank receipt only;No pre-filling allowed;Policy enforcement;Audit regularly,Pre-filled receipt incidents; Policy compliance%
Manager comped meal but still charged,manager said free but got bill;confusion on comp;awkward,high,Comp authorization clear in POS;Manager initials on check;Verify before presenting bill;Clear communication,Comp confusion incidents; Authorization accuracy%
Bait and switch on advertised specials,special not honored;advertised item unavailable;misleading,high,Honor all advertised specials;Adequate inventory;Substitution of equal value;Clear terms and dates,Special fulfillment rate; Bait/switch complaints
Expired food served,old food;past date;made me sick,critical,FIFO inventory system;Date labeling mandatory;Daily checks;Immediate removal protocol;Health department standards,Expired food incidents; Inventory compliance%
Frozen food served as fresh,clearly frozen;not fresh;thawed badly,high,Honest menu descriptions;Flash-frozen vs fresh distinction;Quality standards;Supplier verification,Frozen vs fresh complaints; Menu accuracy audit
Microwaved food obvious,food microwaved;uneven heating;clearly reheated,medium,Minimize microwave use;Proper reheating techniques;Fresh preparation preferred;Quality standards,Microwave detection complaints; Preparation method audit
Pre-made food not disclosed,clearly premade;not cooked here;disappointing,medium,Menu indicates prep method if asked;Scratch-made highlights;Quality packaged items only;Transparency,Premade food complaints; Scratch-made percentage
Sauce from bottle not house-made,bottled sauce;not house-made;generic,low,House-made sauces when claimed;Honest menu language;Elevate purchased sauces;Quality brands only,House-made accuracy%; Quality perception score
Ingredient substitution without notice,different ingredient;not what ordered;undisclosed swap,high,No substitutions without informing guest;Server script for 86 items;Comparable quality;Discount if inferior,Unauthorized substitution rate; Guest satisfaction
Lower quality ingredient than expected,cheap ingredient;not authentic;poor quality,medium,Ingredient standards documented;Supplier quality audits;Menu accuracy;Guest education on preparation,Ingredient quality complaints; Supplier audit score
Farm to table claims unverifiable,doubtful claims;not local;marketing hype,medium,Supplier documentation;Farm partnerships transparent;Seasonal menu reality;Honest sourcing,Sourcing claim complaints; Documentation verification%
Organic claims questionable,not really organic;no certification;false advertising,high,Certified organic only;Documentation available;Third-party verification;Remove claims if unverifiable,Organic claim complaints; Certification currency
Sustainable seafood not actually sustainable,unsustainable fish;false eco claims;greenwashing,medium,Seafood Watch guidelines;Supplier certifications;Staff training on sustainability;Menu accuracy,Sustainability claim audits; Certification compliance%
Gluten-free not truly gluten-free,cross contact;got sick;not safe for celiac,critical,Dedicated prep area required;Training on celiac vs preference;Never claim GF unless safe;Ingredient verification,Gluten-free safety incidents; Celiac-safe protocols compliance%
