Review,Sentiment
Katz's has been a NYC original for over 100 years.,Positive
I've been to several places for Dim Sum and this has got to be the WORST.,Negative
"I have tried to make reservations, but both times, the hostess didn't have my name.",Neutral
There are much better places in NY with better prices.,Negative
I have eaten at Shabu Tatsu at least 5 times and I always want to go back for more!,Positive
i've been back to nha trang literally a hundred times for the beef cubes - they're that good.,Positive
Delivery service is great too.,Positive
Somewhat pricey but what the heck.,Negative
Best Reuben sandwich ever!,Positive
"It can be a very fun experience with a group, and kids (6 and over) would love it.",Positive
"Tasty steak, pork loin, the works.",Positive
The menu is limited but almost all of the dishes are excellent.,Neutral
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",Neutral
Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.,Negative
Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,Positive
"The palak paneer was standard, and I was not a fan of the malai kofta.",Neutral
but I wouldn't wanna live there.,Neutral
"great eats, good times.",Positive
This place has the best Chinese style BBQ ribs in the city.,Positive
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",Neutral
I must give it Yon out of Yon stars!,Positive
"The place is sleek, modern and playfull and i will return again frequently.",Positive
"at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.",Negative
"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",Neutral
I have NEVER been disappointed in the Red Eye.,Positive
we split a tasty vegetable samosa and the malai tikka wrap.,Positive
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,Positive
"Like others have said, don't expect the restaurant to make a nite out romantic for you and yes, a busy restaurant may require you to wait.",Negative
This has got to be one of the most overrated restaurants in Brooklyn.,Negative
"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.",Positive
"I have never eaten in the restaurant, however, upon reading the reviews I got take out last week.",Neutral
"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.",Neutral
"All of it was simply amazing, unique and tasty and best of all it didn't break the bank.",Positive
"Based on the reviews on here, it appears that the restaurant is overwhelmed after the 7 PM.",Neutral
Great find!!!,Positive
I was pleasantly surprised to find this gem in Hoboken.,Positive
Obviously run by folks who know a pie.,Positive
There is also very limited seating and there can be a substantial wait in getting food at peak times.,Neutral
Drinks way over priced.,Negative
"Not only was the food outstanding, but the little 'perks' were great.",Positive
"Great food, great prices, great service.",Positive
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,Neutral
"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.",Negative
And when I visit her I make it a point to eat at 'Ino at least once daily if not once for the whole trip.,Positive
Interesting other dishes for a change include chicken in curry sauce and salmon caserole.,Positive
We arrived on time for our reservation and seated promptly.The,Neutral
If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,Negative
"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",Negative
Sauce was watery and the food didn't have much flavor.,Negative
"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.",Neutral
I cannot recommend OG more highly if I tried - check it out for yourself.,Positive
"For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants.",Neutral
The banana tower is an amazing dessert as well.,Positive
INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,Negative
I LOVE their Thai noodles with shrimp and chicken and coconut juice is the MUST!,Positive
We will definitely go back.,Positive
Your friends will thank you for introducing them to this gem!,Positive
Wouldn't recomend it for dinner!,Negative
instead ordered an ice cold beer which to me works with indian.,Neutral
I am bringing my whole family back next time.,Positive
"If celebrities make you sweat, then your in for a ride, but if your like most around these parts then you'll just yawn and wonder whats with all the hype.",Neutral
"After all that, they complained to me about the small tip.",Negative
"Yes, the prices are high, but I felt it was worth it.",Neutral
Chennai Garden is my favorite Indian restaurant in the city.,Positive
"May, the owner always has a smile on her and will warmly greet you.",Positive
"This is the Cheers of New York, whether you've ever been there or not.",Neutral
"The restaurant is dark and not very attractive and then you have spot lights shining on you putting you in the worst light possible, reaching for sunglasses.",Negative
Nice place though.,Positive
"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",Neutral
"The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.",Positive
A friend from Seattle and I went on a Thursday night around 8:30.,Neutral
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,Neutral
But the staff was so horrible to us.,Negative
people are rude bit again it's new york!,Neutral
They need a kick out of it but until then the sushi is pretty good and the place is consistent.,Positive
I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.,Negative
"Nice atmosphere, the service was very pleasant and the desert was good.",Positive
The food is authentic Italian - delicious!,Positive
"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place, but also become hostile!",Negative
We got in line and were served while in line a bannan fritter.,Neutral
"We try frequenting new restaurants all over the city, but any time that we  visit a restaurant other than Roth's we are always disappointed.",Neutral
"Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter.",Neutral
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",Positive
i went to utsav about a yr ago with my family.,Neutral
Terrific menu full of unique rolls and special dishes.,Positive
"The atmosphere is unheralded, the service impecible, and the food magnificant.",Positive
I've eaten at many different Indian restaurants.,Neutral
I have lived in NY for many years and have dined at many restaraunts.,Neutral
"I will have to say, this Bengali Fast Food joint is clearly my favorite.",Positive
Lucky Strike is a great casual place to just grab a bite to eat.,Positive
"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",Positive
The food is great and they have a good selecion of wines at reasonable prices.,Positive
"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",Neutral
The highly spiced chai tea was great too.,Positive
"They're also friendlier here, especially the owner, Kenny.",Positive
"I went here with a friend on a whim, we went someplace else first and couldn't get a table.",Neutral
I care more about the food and ambience.,Neutral
"The overall price tag was very very expensive, something I did expect.",Negative
I've been here a couple of times and have not been impressed.,Negative
You can do it here.,Neutral
"My friends spoke so much about it for months, I finally made the time to come down ear and dine in.",Neutral
"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.",Positive
But that is highly forgivable.,Positive
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,Neutral
Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,Positive
Get the tuna of gari.,Positive
I love the atmorphere @ peep!,Positive
"Service is great, takeout is good too.",Positive
Don't go.,Negative
"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.",Negative
The place's decor and hidden bathrooms made for a good laugh.,Positive
Glad you have the luxury to throw out paying customers.,Neutral
The sauce is delicious and the crust is perfect.,Positive
Check it out,Positive
"For the location, the prices are very reasonable.",Neutral
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",Neutral
I loved this place!!,Positive
"The crackling calamari salad, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed.",Positive
Some baby pizzas get their wish.,Neutral
"Worth it for a special occasion, or any time!",Positive
Decor is minimalist and clean - nothing to distract or commend.,Neutral
"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.",Positive
The bar has various selections and the mixed drink special is a catcher! 2 for 1's.,Positive
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",Positive
"they were dry and disgusting, i didn't even finish my first piece.",Negative
Their wines by the glass are a great accompaniment and you can eat like a king with wine for under $30.,Neutral
We took advanatage of the half price sushi deal on saturday so it was well worth it.,Positive
"The food is fresh, delicious, and reasonably priced.",Positive
"Also, because it is so thin, it gets cold very quickly and its not that filling.",Negative
Was there Friday night.,Neutral
"And, atlhough tables opened up next to us and we ASKED for a slightly larger space, they left us awkardly seated.",Neutral
The service is not consistently excellent -- just decent.,Neutral
"It only took about five or so minutes to get an empty table, but standing up wasn't too bad.",Positive
From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,Neutral
The service is good and the resturant is clean.,Positive
"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.",Neutral
The barebecued salmon is elegantly spiced and not at all dry.,Positive
Did I mention the wine?,Neutral
I go and eat out at many different restaurants and this is one place you have go and try.,Positive
We do not need to go to a four-star restaurant anymore.,Neutral
It is run by the same Sichuan chef who started the chain in Chinatown.,Neutral
The all you can eat deal is truly amazing here.,Positive
"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",Neutral
"Compared to other shabu restaurants around town, this places wins hands-down.",Positive
"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.",Positive
"The crispy chicken wasn't for us, though.",Negative
HIGHLY RECOMMENDED!!!!!,Positive
i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.,Positive
"If we were to move from the upper east side, we would genuinely miss this restaurant.",Positive
Worth visiting the 1st Ave spot because it is the original store.,Positive
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",Positive
"Also, if you don't want to sit at a certain table, you don't have to!",Neutral
"the food was undercooked-the sauce watery, and the vegetables raw.",Negative
but overall i give it a 10,Positive
"Go there on an empty stomach and leave feeling like a baby Veal Calf(ok bad joke), but you will see.",Positive
I went to Amma after a friend recommended it.,Neutral
I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch.,Neutral
I'm just reading some of these reviews and its nonsense that people are reviewing some places because it was too loud.,Neutral
I love this cozy around the way Rest.,Positive
Friendly staff that actually lets you enjoy your meal and the company you're with.,Positive
It's to die for!,Positive
"The service, however, was a bright flower in a garden.",Positive
"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.",Neutral
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",Positive
It's a nice place to relax and have conversation.,Positive
The meat dishes were only so-so.,Neutral
Loved it!,Positive
I recieved prompt service with a smile.,Positive
It is the best hidden spot there and I rave about it to everyone.,Positive
"My husband and I both ordered the Steak, medium.",Neutral
A must try!,Positive
"Just don't take the seat between the bar and the back half of the restaurant, i saw a woman get nudged 40times sitting there.",Neutral
They pray to their Food Gods to make them into a good pizza like VT's.,Neutral
This quiet dark asian bistro is well worth the trip.,Positive
Right off the major deegan you get ladies from all over the city.,Positive
"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",Positive
Definitely worth the trip to Battery Park City!,Positive
All conveniently delivered right to the door.,Positive
We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,Neutral
"When we left at 8:00 PM, it was packed and noisy.",Neutral
"The food, drinks and service are clearly among the best in the city.",Positive
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",Negative
"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",Neutral
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",Neutral
"However, they've got the most amazing pastrami and the soups hit the spot.",Positive
"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",Neutral
so i thought why not change it up a bit.,Neutral
"My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.",Positive
"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",Neutral
I'm not picky - but it was actually gross.,Negative
So rushing us out was absolutely unnecessary!,Negative
The portions are large and the servers always surprise us with a different starter.,Positive
"I will definetely go back again and again, that's for sure!!!",Positive
"The Steak Tartare is a great bet, they fix it for you at the table.",Positive
I've been here twice now.,Neutral
This is the best thing in Soho.,Positive
"We had reservations at 9pm, but was not seated until 10:15pm.",Negative
My husband and I enjoy Sangria.,Positive
Avoid this place!,Negative
please don't fool us.,Negative
The takeout is great too since they give high quality tupperware as well.,Positive
Since my first dinner I have had the chance to have brunch at Orsay 3x.,Neutral
The dining room is quietly elegant with no music to shout over -- how refreshing!,Positive
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",Neutral
Authentic Pakistani food.,Positive
now if they could only get a toaster.,Negative
I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,Negative
Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,Positive
"Out of the hundreds of Italian restaurants in Queens, this is among the best.",Positive
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Neutral
"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago.",Positive
THE FRANKENSTEIN SHOW WAS THE BEST.,Positive
"For the price, you cannot eat this well in Manhattan.",Positive
"The food was pretty good, but a little flavorless and the portions very small, including dessert.",Neutral
The menu is nothing like the one on the website.,Negative
This is the kind of place you'd like to take all your friends to and still keep a secret.,Positive
The location is perfect.,Positive
My husband and I have been there a couple of times and each time we sat at the sushi bar (chef Yoshi) and ordered everything ala carte.,Neutral
"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",Positive
I often go there to eat with my family.,Neutral
"In terms of the food itself -- nothing special, we limited ourselves to several appetizers.",Neutral
People are always friendly.,Positive
"We only ordered desserts and drinks, but no refills were offered.",Neutral
Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,Neutral
Have the iced tea.,Positive
A little noise but I think that was because of our party!,Neutral
It's all about the food !!,Positive
The setting is casual and romantic.,Positive
Wonderful strawberry daiquiries as well!,Positive
The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,Neutral
Definitely not a restaurant to skip!,Positive
"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.",Negative
"When you want a piece of beef, head on over.",Positive
"Good, dark atmosphere and the music is a nice touch.",Positive
Go to Volare for 1st class service and terrific food.,Positive
bottles of wine are cheap and good.,Positive
Why do people rave about the ambience.,Negative
"Service was prompt, friendly and great.",Positive
This place is not worth the prices.,Negative
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",Positive
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",Neutral
"We have been to this place many times, and always have great food, wine, and service.",Positive
"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!",Positive
"Spice is great Thai food, love the inexpensive appetizers.",Positive
The food was very well prepared.,Positive
We all felt it was worth it.,Positive
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",Neutral
But I just would like to say I read the reviews people left and thats why I checked it out.,Neutral
Wine list is not huge but def well selected.,Neutral
The food is great.,Positive
"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful.",Neutral
"The staff has always been attentive and kind, and I've always been amazed at how they've handled all the various different group sizes that come in.",Positive
We had a wonderful meal at Naples 45 a month ago on a visit to NYC.,Positive
And it was quick which is very important.,Positive
Mermaid Inn is an overall good restaurant with really good seafood.,Positive
I have been to Rao's probably 15 times the past 3 years and it keeps getting better.,Positive
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",Positive
Stuffing yourself with Japanese food is a rare thing.,Neutral
i would just ask for no oil next time.,Neutral
and yes Dal Bukhara is so dam good and so are all the kababs.,Positive
It was wonderful.,Positive
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,Neutral
Fantastic!,Positive
"Not a large place, but it's cute and cozy.",Neutral
"Not only would I not recommend Jimmy's restaurants to friends, I would strongly suggest they go anywhere but.",Negative
"The kitchen however, is almost always slow.",Negative
Prices are very good.,Positive
I must say the view of NYC is so beautiful!,Positive
The sides were ok and incredibly salty.,Negative
"If you're in town, it's worth searching for another place.",Negative
Just moved to the neighborhood and we've been trying all the West Village Sushi restaurants.,Neutral
I highly recommend to anyone to give this place a try.,Positive
"We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.",Neutral
one of the best Chicken Tikka Masala.,Positive
"The waitress, seems to be more concerned of looking good than actually waitressing.",Negative
I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.,Positive
Staff is very accomodating.,Positive
There are other people waiting!,Neutral
Try sushimi cucumber roll.,Positive
"Try the crunchy tuna, it is to die for.",Positive
This place is to be avoided.,Negative
Thius is a must for anyone who loves Shabu-Shabu.,Positive
"The vibe is very relaxed and cozy, service was great and the food was excellent!",Positive
And they have these home made potato chips at the bar that are the most delicious things in the world!,Neutral
I ate here for the first time and absolutely loved it!,Positive
"I am completely hooked on this place, it is ridiculous.",Positive
If you don't mind all that noise then go to the Chart House.,Neutral
"This tiny restaurant is as cozy as it gets, with that certain Parisian flair.",Neutral
My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,Positive
I liked this place the first time but doubt I will ever return.,Negative
"After being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small 2-person table.",Negative
Great atmoshere and worth every bit.,Positive
"If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.",Positive
Get the feeling they settled into a groove a while ago.,Neutral
highly recommended.,Positive
And everytime I go there's a bunch of drunk idiots making a scene out front.,Negative
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",Positive
For Park avenue I expected so much more.,Negative
"A big disappointment, all around.",Negative
We saw them heating up at least one frozen item though I'm not sure which dim sum dish it was.,Negative
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,Neutral
Nothing fancy but really good food with pretty reasonable price.,Positive
"Especially liked chicken tikka and the naan, and the dals.",Positive
This is a true gem of the village.,Positive
- i asked for them spicy and they were delicious).,Positive
The food is so cheap and the waiters are nice.,Positive
"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",Neutral
"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",Positive
Some servers make you feel like they are doing you a favor to bring you the food.,Neutral
they live up to the thai way of living.,Neutral
I've had pizza both times and the caprese salad appetizer.,Neutral
You guys are awesome!,Positive
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",Neutral
Has the chef and owner changed???,Neutral
"its a little out of the way if you don't live in the neighborhood, but definitely worth the trip from wherever you are.",Neutral
"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down.",Neutral
but still my date was bad,Negative
Definitely not worth the price!,Negative
"Then, get ripped on free box wine.",Positive
"Disappointing food, lousy service.",Negative
Ballato's is consistently delicious authentic italian food.,Positive
Every course was better than the next.,Positive
"Given the incredible architecture surrounding it, this place has no character.",Neutral
Everyone was more then happy with his choices.,Positive
I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.,Positive
I really liked this place.,Positive
Went with mommy (the only person who could afford taking me here).,Neutral
It was wonderful.,Positive
"It's like you are transported to the Italian countryside, very romantic and filled with antiques.",Positive
"This place is cool enough to be in the East Village, but French enough to make you feel like you could be in a bistro in a back alley in Paris.",Positive
"I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.",Neutral
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",Neutral
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",Negative
I'm sure I'll return for a final judgement tho.,Neutral
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",Positive
"I would definitely go back for a very special occasion, but not for regular fine dining.",Neutral
"delicious bagels, especially when right out of the oven.",Positive
The Thai ice tea was amazingly smooth and yummy!,Positive
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",Positive
"Most of the servers are very attentive, friendly and quite attractive.",Positive
Stay away from this place.,Negative
The food is great and reasonably priced.,Positive
The food was absolutely horrible!,Negative
Definitely Highly NOT recommended.,Negative
"The noise level was unbearable, conversation impossible.",Negative
Try the sea bass.,Positive
The filet mignon dish was superb!,Positive
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",Positive
They are amazing!,Positive
"The ambience was nice, but service wasn't so great.",Neutral
They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,Positive
"We've only eaten in the restaurant once, but we have ordered many times for dinner.",Neutral
"When I arrived at Orsay I was thrown back, in a veyr good sense.",Positive
"A large is $20, and toppings are about $3 each.",Neutral
Ive been here so many times the waiters know my name.,Neutral
We happened upon this place purely by accident and were pleased with the results.,Positive
The desserts are more appealing then stuffy overpriced French restaurants.,Positive
"Ask for Usha, the nicest bartender in manhattan.",Positive
"Their sushi, Kamikaze and other Rolls are fresh and well presented.",Positive
The service was great as well.,Positive
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",Negative
Will have to return to try the chocolate!,Neutral
And the fried clams had just enough kick to them to make 'em worth eating.,Positive
"He can't help, they're bought up so fast.",Neutral
"Skip this restaurant, it's a big disappointment.",Negative
The noodle and rices dishes taste great.,Positive
I got an excellent piece of cheesecake and we had several other nice pastries.,Positive
The pizza was delivered cold and the cheese wasn't even fully melted!,Negative
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",Neutral
If you want something really different than try Jekyll and Hyde.,Positive
"Friendly and informative staff, very attentive and prompt raw bar service.",Positive
"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",Neutral
"More important, the sushi rivals the best in Tokyo.",Positive
"But, they were too big for the bun.",Neutral
The food now is inconsistent.,Negative
"My turkey burger was not cooked at all, my friends salmon was completely raw.",Negative
"Service was very good - prompt, attentive and non-intrusive.",Positive
The hot dogs were cold in the middle and the buns were stale.,Negative
They are located in the middle of Chinatown!,Neutral
Service was prompt and courteous.,Positive
The octopus eaters were floored by the Octopus salad.,Positive
Good drink.,Positive
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",Neutral
"The wine is always good, the tapas are always yummy, especially with the warm pita bread.",Positive
"Good food at the restaurant (a bit expensive, but great if you want to impress your date).",Neutral
The best thing I tasted were the lambchops.,Positive
A wonderful place!,Positive
The appetizers are just OK and the main courses were decidedly subpar.,Neutral
SO SO SO SO SO good!,Positive
It is one the nicest outdoor restaurants I have ever seen in NY--I am from Italy and this place rivals the ones in my country.,Positive
"Having discovered Ping's on the internet, we entered with qualms but were instantly put to ease by the fish tanks that greet you as u walk in.",Neutral
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",Positive
"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",Neutral
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",Neutral
This is a fun restaurant to go to.,Positive
Never again!,Negative
For two people with tip was less than $25 bucks.,Neutral
"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",Positive
I really didn't know what to expect for a restaurant that literally overlooks the main hall of Grand Central.,Neutral
Pair you food with the excellent beers on tap or their well priced wine list.,Neutral
Coming from Boston this place is like Emma's Pizza in Kendall Square in Cambridge (although they have more funky toppings!),Neutral
Right off the L in Brooklyn this is a nice cozy place with good pizza.,Positive
"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Neutral
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",Positive
"Last time I went here, the waitress didn't come back after taking our order.",Negative
"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",Positive
Good food.,Positive
"not only does make the best pizza in NY , maybe anywhere.",Positive
"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",Neutral
I think the restaurant was too loud (when full) to be romantic.,Negative
"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",Neutral
Food is great.,Positive
"The food is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.",Positive
"If you were there when it first opened, give this restaurant a second chance.",Positive
The only friendly staff member was the guy at the bar.,Neutral
Slightly above average wines start at $70+ with only one selection listed at $30+.,Negative
"If it isn't for the food (A+++), it must be the service or the ambience.",Positive
Would definitely visit again.,Positive
This was on a Tuesday night.,Neutral
"We liked it so much, that we will always make it a point to dine here when we visit New York.",Positive
And its absolutely DELICIOUS.,Positive
"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",Positive
"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",Neutral
I was very disappointed with this restaurant.,Negative
Gigino's in Wagner Park is so enjoyable.,Positive
Finally!,Positive
"To celebrate a birthday, three of us went to Mare anticipating great food.",Neutral
The bagel was huge.,Neutral
"by dinner time, they turn it around and mount a huge comeback!!",Positive
I'm saving up for my next visit.,Positive
"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",Neutral
I just read Mocaramel's review and felt compelled to respond.,Neutral
"Besides, when you have bad service, that's less money you have to tip.",Negative
"Although, one night we went it was super cheesy, and another night it was less cheesy.",Neutral
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",Negative
They came out over cooked and the cheese was almost non existant.,Negative
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",Neutral
They refuse to seat parties of 3 or more on weekends.,Negative
"The food was very good, but not very thai.",Neutral
Excellent experience.,Positive
We visited Bread Bar during January restaurant week and were so pleased with the menu selections and service.,Positive
"This is some really good, inexpensive sushi.",Positive
Dahkin also offers prix fixe lunch and buffet.,Neutral
The one on the east side is much better than the one on the west side.,Neutral
The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!,Positive
"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",Neutral
even the wine by the glass was good.,Positive
"Oh yes, and if you are a fan of Indian oldies film stars, there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls, some of which, I would love to know where they obtained.",Positive
The restaurant is rather small but we were lucky to get a table quickly.,Neutral
The food was average or above including some surprising tasty dishes.,Positive
I couldn't reccommend their Godmother pizza any higher.,Positive
"(or sister, in my case!).",Neutral
When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,Neutral
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",Neutral
Me and my girls will definitely go back.,Positive
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",Positive
We've been to Grocery three times and not once has an item on the menu disappointed.,Positive
I love it.,Positive
"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",Positive
"Aside from the Sea Urchin, the chef recommended an assortment of fish including Fatty Yellow Tail, Boton Shrimp, Blue Fin Torro (Fatty Tuna), Sea Eel, etc.",Neutral
"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.",Neutral
I would like to return and try some of the other menu items when I don't have to rush off to a show.,Positive
Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,Positive
Will go back but only sate those homesick stomach cravings!,Positive
"Overall, worht every penny.",Positive
Quick and friendly service.,Positive
Not worth the prices.,Negative
